Nome,Endereço,Telefone,Site,Reputação,Site Próprio,Velocidade Carregamento (s),Tem SSL,Domínio,WhatsApp,Instagram,Tecnologias
Ulbra Medicina Porto Alegre - Unidade 2,"Rua Coronel Joaquim Pedro Salgado, 80 - Rio Branco, Porto Alegre - RS, 90420-060",(51) 99300-6269,ulbra.br,Não obtido,Sim,1.1,Sim,ulbra.br,Não obtido,https://www.instagram.com/ulbrabr/,Bootstrap
Centro Universitário Metodista - IPA,"Rua Coronel Joaquim Pedro Salgado, 80 - Rio Branco, Porto Alegre - RS, 90420-060",(51) 3316-1100,ipametodista.edu.br,249 (3.9),Sim,Erro,Não obtido,ipametodista.edu.br,Não obtido,Não obtido,Não obtido
Afya Educação Médica - RS,"R Anita Garibaldi, 841 - Mont'Serrat, Porto Alegre - RS, 90450-000",(51) 2042-0079,educacaomedica.afya.com.br,8 (4.1),Sim,0.1,Não,educacaomedica.afya.com.br,Não obtido,Não obtido,
Fleming Medicina,"R. Cel. Frederico Linck, 25 - Rio Branco, Porto Alegre - RS, 90035-006",(51) 3269-6800,flemingeducacao.com.br,53 (4.0),Sim,0.47,Não,flemingeducacao.com.br,Não obtido,Não obtido,
Faculdade de Ciências da Saúde Moinhos de Vento,"Av. Cristóvão Colombo, 545 - Independência, Porto Alegre - RS, 90560-003",(51) 3314-3690,faculdademoinhos.com.br,21 (4.0),Sim,0.43,Sim,faculdademoinhos.com.br,https://api.whatsapp.com/send?phone=5551999923616&text=ol%c3%a1,Não obtido,Bootstrap
Universidade Federal do Rio Grande do Sul,"Farroupilha, Porto Alegre - RS, 90010-150",Não obtido,ufrgs.br,795 (4.6),Sim,2.46,Sim,ufrgs.br,Não obtido,Não obtido,Não obtido
FAMED,"Av. Getúlio Vargas, 1618 - Menino Deus, Porto Alegre - RS, 90150-000",(51) 3235-3535,Não obtido,6 (3.7),Não obtido,Não obtido,Não obtido,Não obtido,Não obtido,Não obtido,Não obtido
MedPós,"R. Câncio Gomes, 768 - Moinhos de Vento, Porto Alegre - RS, 90220-060",(51) 3061-6015,medpos.com.br,121 (4.7),Sim,0.5,Sim,medpos.com.br,https://api.whatsapp.com/send/?phone=555196896838&text&app_absent=0,https://www.instagram.com/medpos/,WordPress
SIDI - Medicina Por Imagem,"Av. Ipiranga, 1801 - Sala 247 - Praia de Belas, Porto Alegre - RS, 90160-092",(51) 3230-9168,sidiltda.com.br,228 (3.3),Sim,0.51,Não,sidiltda.com.br,Não obtido,Não obtido,
Estácio,"R. Mal. Floriano Peixoto, 626 - Centro Histórico, Porto Alegre - RS, 90020-060",0800 880 6767,estacio.br,280 (2.9),Sim,0.09,Sim,estacio.br,Não obtido,Não obtido,Não obtido
GSO Medicina Ocupacional • Porto Alegre - RS,"Prç. Pereira Parobé, 130 - 4° andar - Centro Histórico, Porto Alegre - RS, 90020-150",(51) 99225-3566,gsomedicinaocupacional.com.br,194 (4.1),Sim,1.08,Sim,gsomedicinaocupacional.com.br,https://api.whatsapp.com/send?phone=5551993719388,https://www.instagram.com/gsomedicinaocupacional,Bootstrap; ReactJS
Conselho Regional de Medicina do RS - Cremers,"Av. Princesa Isabel, 921 - Santana, Porto Alegre - RS, 90620-001",(51) 3300-5400,cremers.org.br,292 (4.4),Sim,3.18,Sim,cremers.org.br,https://api.whatsapp.com/send?phone=555189491211&text=ol%c3%a1!%20gostaria%20de%20receber%20as%20not%c3%adcias%20do%20cremers%20no%20meu%20celular.,https://www.instagram.com/cremersoficial/,WordPress; Bootstrap
Uninassau Porto Alegre,"Av. Borges de Medeiros, 343 - 6° andar - Centro Histórico, Porto Alegre - RS, 90020-021",(51) 98229-8686,graduacao.uninassau.digital,5 (2.6),Sim,1.12,Não,graduacao.uninassau.digital,Não obtido,Não obtido,
Aptidão - Medicina do Trabalho em Porto Alegre,"R. dos Andradas, 1755 - 11/12/13/14 - Centro Histórico, Porto Alegre - RS, 90020-013",(51) 3227-5687,aptidaors.com.br,109 (2.5),Sim,0.58,Sim,aptidaors.com.br,https://wa.me/555140667953,https://www.instagram.com/clinicaaptidao/,Bootstrap
Senac Saúde,"Av. Assis Brasil, 1481 - Passo d'Areia, Porto Alegre - RS, 91010-005",(51) 3341-0444,senacrs.com.br,206 (4.4),Sim,0.53,Sim,senacrs.com.br,Não obtido,https://www.instagram.com/senacrs/,ReactJS
Escola de Enfermagem da UFRGS,"R. São Manoel, 963 - Rio Branco, Porto Alegre - RS, 90620-110",(51) 3308-5226,ufrgs.br,37 (4.5),Sim,2.48,Sim,ufrgs.br,Não obtido,Não obtido,Não obtido
RMED Pré-Vestibular,"Praça Júlio de Castilhos, 28 - Moinhos de Vento, Porto Alegre - RS, 90430-020",(51) 99532-6237,rmedprevestibular.com.br,8 (4.8),Sim,0.16,Não,rmedprevestibular.com.br,Não obtido,Não obtido,
Setor de Segurança e Medicina do Trabalho,"Partenon, Porto Alegre - RS, 90160-092",(51) 3353-4286,Não obtido,2 (5.0),Não obtido,Não obtido,Não obtido,Não obtido,Não obtido,Não obtido,Não obtido
Dra. Cláudia Flach | Medicina Preventiva | Porto Alegre,"R. 24 de Outubro, 1440 - Sala 1109 - Auxiliadora, Porto Alegre - RS, 90510-001",(51) 99944-5591,draclaudiaflach.com.br,13 (5.0),Sim,4.28,Sim,draclaudiaflach.com.br,https://wa.me/5551999445591,https://www.instagram.com/clinica.claudiaflach/?hl=pt-br,Não obtido
Hospital Santa Clara,"Rua Professor Annes Dias, 295 - Centro Histórico, Porto Alegre - RS, 90020-090",(51) 3214-8000,santacasa.org.br,1.173 (3.8),Sim,0.38,Sim,santacasa.org.br,https://wa.me/555132148000,http://www.instagram.com/santacasapoa/,Bootstrap
Universitário Pré-Vestibular (Centro Histórico),"R. Dr. Flores, 327 - Centro Histórico, Porto Alegre - RS, 90020-123",(51) 3225-0966,universitario.com.br,33 (3.6),Sim,2.12,Sim,universitario.com.br,Não obtido,https://www.instagram.com/cursouniversitario,Bootstrap
FASAÚDE,"Rua Coronel Corte Real, 75 - Petrópolis, Porto Alegre - RS, 90630-080",(51) 3331-9555,fasaude.com.br,7 (3.6),Sim,1.72,Sim,fasaude.com.br,https://api.whatsapp.com/send?phone=555199428980,Não obtido,Bootstrap
Núcleo de Medicina Personalizada Dr. Vinícius Bachinski,"Edifício MedPlex Santana Torre Sul - R. Gomes Jardim, 301 - Sala 1121 - Santana, Porto Alegre - RS, 90620-130",(51) 99191-9196,nucleodrviniciusbachinski.com.br,11 (5.0),Sim,0.85,Sim,nucleodrviniciusbachinski.com.br,"https://wa.me/5551991919196?text=olá, vim através do site e gostaria de mais informações sobre as consultas.",https://www.instagram.com/nucleodrviniciusbachinski/,Bootstrap
SafetyMed Porto Alegre - Medicina e Segurança do Trabalho,"Rua dos Andradas, 1727 - Conj. 55, 5º Andar - Centro Histórico, Porto Alegre - RS, 90020-012",(51) 3211-0960,safetymedrs.com.br,40 (4.6),Sim,0.27,Sim,safetymedrs.com.br,Não obtido,https://www.instagram.com/safetymedrs/,WordPress; Bootstrap
Unidade Bioanalítica UFCSPA,"R. Sarmento Leite, 245 - sala 603 - Bom Fim, Porto Alegre - RS, 90050-170",Não obtido,instagram.com,2 (5.0),Não,0.79,Sim,instagram.com,Não obtido,Não obtido,Bootstrap; ReactJS
Unisinos,"Av. Dr. Nilo Peçanha, 1600 - Boa Vista, Porto Alegre - RS, 91330-002",(51) 3591-1122,unisinos.br,390 (4.6),Sim,0.56,Sim,unisinos.br,https://api.whatsapp.com/send?phone=555199955572&text=olá%2c%20tudo%20bem%3f,https://www.instagram.com/reel/c3ayye2nmay/?utm_source=ig_embed&utm_campaign=loading,Bootstrap
"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - Campus Porto Alegre","R. Cel. Vicente, 281 - Centro Histórico, Porto Alegre - RS, 90030-041",(51) 3930-6002,poa.ifrs.edu.br,343 (4.7),Sim,3.16,Sim,poa.ifrs.edu.br,Não obtido,https://www.instagram.com/ifrspoa/,Bootstrap
Faculdade Caduceu,"Rua Eudoro Berlink, 865 - Auxiliadora, Porto Alegre - RS, 90450-030",(51) 3105-4085,caduceucursos.com.br,7 (5.0),Sim,0.45,Não,caduceucursos.com.br,Não obtido,Não obtido,
Universidade La Salle - Unidade Dores,"R. Riachuelo, 800 - Sala 14 - Centro Histórico, Porto Alegre - RS, 90010-272",0800 541 8500,unilasalle.edu.br,90 (4.1),Sim,2.38,Sim,unilasalle.edu.br,Não obtido,Não obtido,Não obtido
Museu de História da Medicina do Rio Grande do Sul,"Av. Independência, 270 - Independência, Porto Alegre - RS, 90035-070",(51) 3029-2900,muhm.org.br,200 (4.7),Sim,1.31,Sim,muhm.org.br,Não obtido,https://www.instagram.com/muhm_rs/,Bootstrap
